req.url,count(*)
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10662/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,24
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10912,97
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10667/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,49
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10848/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12309,34
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12258/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12049/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,23
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12267/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10667/users,116
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10848/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10848,36
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10555/users,92
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10667,179
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10912/users,61
/v/dev-0.0/tenants/dashboard/utterances,1229
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10662/users,48
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10555,138
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12258/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10662,72
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12267/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12296/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10912/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,28
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12267,36
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10804,72
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12296,79
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12296/users,52
/v/dev-0.0/tenants/eon/callback-requests?is_complete=false&subtenant=bag&subtenant=ava&subtenant=edi&subtenant=shng&subtenant=elbe&subtenant=bag-service&subtenant=ava-service&subtenant=edi-service&subtenant=shng-service,55
/v/dev-0.0/tenants/system/status,442
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10967/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,36
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12220/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,24
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12220,72
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12220/users,48
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10924,72
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-diltschev/calls,1
/v/dev-0.0/tenants/smartpatcher/subtenants?phone_number=10014,2
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10653/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-west-mayen/calls/614c1ecd755d37001974b27a,2
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-13007/calls/614c1ed0d880b2001b67dca0,1
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10077,79
/v/dev-0.0/tenants/bmg/subtenants/ga-flensburg/calls?subtenant_id=ga-flensburg&is_complete=false,58
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10751/users,48
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10973/calls,7
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12258,36
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12291/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,24
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12291,72
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-welz/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,13
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10751,72
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12291/users,48
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-gutsche-kettler,36
/v/dev-0.0/tenants/bmg/subtenants?phone_number=4930549079291,3
/v/dev-0.0/tenants/bmg/subtenants?id=ga-flensburg&is_webapp=true,58
/v/dev-0.0/tenants/smartpatcher/subtenants?phone_number=10973,14
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-gutsche-kettler/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10677/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,24
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12306,48
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-gutsche-kettler/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12306/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,16
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12306/users,32
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10653,75
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10027/calls/614c1e9d041bc6001dde21c8,3
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12083/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10915/calls,6
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10653/users,50
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10677/users,48
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10823/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-welz,47
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12021,53
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10677,72
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10916,60
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10866/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,25
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10916/users,40
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-welz/users,30
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12021/users,34
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10916/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,20
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-13023,138
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10823/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12021/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,15
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10823,36
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12054/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,24
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12083,36
/v/dev-0.0/tenants/smartpatcher/subtenants?phone_number=10915,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12083/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-13023/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=75&is_complete=true,12
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10637,177
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12021/calls/614c1cdbb23cdc001a164051,4
/v/dev-0.0/tenants/smartpatcher/subtenants/cmc-orthopaedie/calls/614c1e8ced7cb50019dfb88a,7
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10637/users,118
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10866/users,77
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-13023/users,92
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10952/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,28
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12064,60
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10952,124
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12064/users,40
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12064/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,10
